enst	entrez	tsea	pLI	oe_lof_upper	mis_z	subre	module	go	corum	string	target
ENST00000014930	50865	0	4.18e-06	1.758	0.093763	0	other	2	no	0	0
ENST00000014935	1774	0	0.38833	0.685	0.6932	0	other	0	no	0	0
ENST00000016913	54860	0	3.5e-09	1.787	-0.11896	0	other	0	no	0	0
ENST00000019103	6344	0	2.4300000000000003e-12	1.1440000000000001	-0.024273	3	other	4	no	0	0
ENST00000019317	10928	0	0.14667	0.449	2.0057	0	other	1	no	0	0
ENST00000020673	5662	1	0.9035799999999999	0.337	1.7965	0	other	3	no	0	0
ENST00000020926	57586	1	0.68807	0.45899999999999996	0.3632	2	M4	10	no	0	0
ENST00000020945	6591	0	0.7953100000000001	0.494	1.1545	4	M1	27	no	0	0
ENST00000023064	11136	0	9.06e-10	1.121	0.80513	0	other	1	no	0	0
ENST00000025008	9821	0	1.0	0.138	0.8117800000000001	0	M7	2	no	0	0
ENST00000025301	11215	0	0.9787799999999999	0.3	0.31287	0	other	2	no	0	0
ENST00000025399	11171	0	0.39	0.469	2.0386	0	other	19	no	0	0
ENST00000027335	1015	0	3.42e-14	0.963	0.35086	0	other	3	no	0	0
ENST00000033079	51306	0	0.48745	0.365	0.8614	0	M7	1	no	0	0
ENST00000035383	57554	1	1.0	0.157	3.6044	2	M4	29	no	0	0
ENST00000037243	11345	0	0.00022815	1.581	0.97214	0	other	9	no	0	0
ENST00000039989	55761	0	0.9999600000000001	0.225	1.3045	0	M1	0	no	0	0
ENST00000040584	3224	0	0.1695	0.7340000000000001	0.50171	0	other	0	no	0	0
ENST00000040663	84245	0	0.00040621	1.102	0.34812	1	other	0	no	0	0
ENST00000040877	6894	0	1.39e-23	0.841	-0.42883999999999994	0	other	5	no	0	0
ENST00000042931	54831	0	1.52e-13	1.306	1.4247	0	other	4	no	0	0
ENST00000044462	5685	0	0.59959	0.489	2.4448	0	M7	24	no	0	0
ENST00000046087	11055	0	0.00031153	0.7979999999999999	0.89464	0	other	0	no	0	0
ENST00000046794	3937	0	0.92466	0.341	0.9179799999999999	0	other	4	no	0	0
ENST00000052754	1634	0	0.31231	0.536	0.80106	0	other	9	no	0	0
ENST00000053243	608	0	1.37e-06	1.8840000000000001	-1.2428	2	other	0	no	0	0
ENST00000053468	55173	0	1.01e-09	1.73	-0.36244	0	other	1	no	0	0
ENST00000053469	2978	1	0.00041429	1.416	0.36929	0	M7	4	no	0	0
ENST00000053867	2896	0	0.06966599999999999	0.483	0.27501	0	other	22	no	0	0
ENST00000054650	90326	0	0.0072819	1.358	0.20401	0	other	0	no	0	0
ENST00000054666	9341	0	0.0025881999999999997	1.2690000000000001	0.11839000000000001	0	other	13	no	0	0
ENST00000054668	10911	0	0.031612	1.271	0.28418000000000004	0	other	0	no	0	0
ENST00000055077	5982	0	2.21e-06	0.977	1.1542	0	M1	6	no	0	0
ENST00000056217	7984	0	7.59e-14	0.983	1.4654	0	other	6	no	0	0
ENST00000056233	9603	0	7.18e-11	1.314	-3.7479	2	M1	0	no	0	0
ENST00000064571	140689	1	0.16726	1.004	1.962	1	other	2	no	0	0
ENST00000064724	5010	1	0.91076	0.385	1.7611	0	other	1	no	0	0
ENST00000064778	23201	1	0.9912299999999999	0.21100000000000002	1.7315	0	other	1	no	0	0
ENST00000064780	84957	0	1.07e-06	0.9279999999999999	-0.27482	0	other	2	no	0	0
ENST00000070846	5318	0	3.11e-18	1.0590000000000002	-0.21313000000000001	2	M7	27	no	0	0
ENST00000072869	90956	0	3.65e-07	0.92	0.91922	0	other	0	no	0	0
ENST00000075120	6515	0	0.010333	0.65	1.033	0	other	1	no	0	0
ENST00000075503	55359	0	9.100000000000001e-11	1.186	0.030223000000000003	2	other	5	no	0	0
ENST00000078445	84699	0	8.06e-14	1.469	0.24895	0	other	1	no	0	0
ENST00000081029	60488	0	3.05e-09	1.253	-0.30235	0	M7	1	no	0	0
ENST00000083182	10513	0	0.99567	0.271	3.0879	0	other	0	no	1	0
ENST00000084795	6141	0	0.95399	0.309	1.8712	0	M1	0	no	0	0
ENST00000084798	770	1	0.00095695	0.79	1.8768	0	other	0	no	0	0
ENST00000085068	79763	0	1.3000000000000001e-05	1.5490000000000002	-0.036881	0	other	1	no	0	0
ENST00000085219	933	1	0.8044	0.349	0.6737	1	other	3	no	0	0
ENST00000086933	2928	0	0.0044347	1.905	-0.54701	0	other	0	no	0	0
ENST00000155093	7544	0	0.6935899999999999	0.58	1.5119	1	other	0	no	0	0
ENST00000155926	28951	0	0.98349	0.24	1.706	4	other	7	no	0	0
ENST00000156084	55593	0	0.9971700000000001	0.17300000000000001	3.9939999999999998	0	other	3	no	0	0
ENST00000156109	27238	0	0.9955299999999999	0.187	0.9207299999999999	0	M7	5	no	1	0
ENST00000156471	9716	0	1.0	0.21899999999999997	3.5509	0	M7	7	yes	1	0
ENST00000156499	43847	0	2e-08	1.567	0.38548000000000004	1	other	0	no	0	0
ENST00000156626	55808	0	1.3800000000000002e-11	1.125	0.14144	0	other	0	no	0	0
ENST00000156825	53615	0	0.9765	0.26	1.3857	0	other	11	yes	0	0
ENST00000157812	5704	0	0.30101	0.493	3.5315	0	M7	25	no	0	0
ENST00000158762	9744	0	0.067617	0.423	2.2959	0	other	0	no	0	0
ENST00000158771	51009	0	0.9574	0.332	1.6165	0	M7	9	no	0	0
ENST00000159060	50508	0	1.63e-14	1.05	-0.22541999999999998	0	other	0	no	0	0
ENST00000161006	64063	0	0.0029749000000000004	0.94	1.0173	1	other	0	no	0	0
ENST00000161559	634	0	0.00078816	0.7090000000000001	0.57986	0	other	21	no	0	0
ENST00000161863	64848	0	1.0	0.131	0.32526	0	M1	2	no	0	0
ENST00000162044	54929	0	1.1e-06	0.821	0.5736100000000001	0	M7	9	no	0	0
ENST00000162391	55810	0	0.99846	0.242	0.8248700000000001	1	M7	2	no	0	0
ENST00000162749	7132	0	0.9949	0.23600000000000002	2.1013	0	other	9	no	0	0
ENST00000163416	9950	0	5.96e-05	0.527	0.71832	0	other	1	no	0	0
ENST00000164139	5837	0	2.0300000000000002e-13	0.8740000000000001	0.046883999999999995	0	other	0	no	0	0
ENST00000164227	602	0	0.9887100000000001	0.221	2.2716	0	other	8	no	0	0
ENST00000164640	57595	1	0.8485299999999999	0.4	2.7039999999999997	0	other	0	no	0	0
ENST00000165524	51052	0	0.10769000000000001	1.858	-0.63634	0	M7	1	no	0	0
ENST00000166139	10272	0	0.68658	0.586	1.5745	0	other	15	no	0	0
ENST00000166244	2046	1	1.8300000000000001e-10	0.7120000000000001	0.70721	2	M1	8	no	0	0
ENST00000166534	8974	0	1.97e-06	0.657	0.82119	0	other	0	no	0	0
ENST00000167106	22846	0	0.32566	0.604	1.4509999999999998	4	M4	8	no	0	0
ENST00000167586	3861	0	0.00020311	0.846	0.8353	0	other	1	no	0	0
ENST00000167588	54474	0	9.08e-11	1.296	0.36924	0	other	0	no	0	0
ENST00000168148	6694	0	1.69e-14	1.892	-0.389	0	other	0	no	0	0
ENST00000169298	6480	0	0.2341	0.5710000000000001	1.1515	1	M7	0	no	0	0
ENST00000169565	27091	0	0.15765	1.032	0.065995	1	other	36	no	0	0
ENST00000170168	57455	0	0.9864	0.3	-0.19765	0	other	0	no	0	0
ENST00000170447	23609	0	0.008824799999999999	0.664	0.51939	0	M7	0	no	0	0
ENST00000170564	55094	0	1.5499999999999998e-11	0.6890000000000001	0.6785399999999999	0	M7	6	yes	0	0
ENST00000170630	3566	0	0.00023013	0.8320000000000001	0.76905	1	other	0	no	0	0
ENST00000171111	9817	0	0.00038766	0.627	3.7962	0	M7	7	no	0	0
ENST00000171887	7145	0	0.059861000000000004	0.363	0.55179	0	other	0	no	0	0
ENST00000172229	4804	0	0.097889	0.595	1.3661	4	M7	31	no	0	0
ENST00000173229	9423	0	0.99687	0.222	2.2728	2	other	21	no	0	0
ENST00000173527	51015	0	6.099999999999999e-08	1.4180000000000001	0.30796	0	M7	0	no	0	0
ENST00000174618	4335	0	0.99739	0.171	0.98103	0	M4	1	no	0	0
ENST00000174653	10947	0	1.97e-07	1.112	1.39	0	other	4	no	0	0
ENST00000175091	9741	0	0.0042449	0.877	-0.049025	0	M7	0	no	0	0
ENST00000175506	440	0	9.36e-06	0.74	1.8574	0	other	2	no	0	0
ENST00000175756	26469	0	1.5e-09	0.9840000000000001	0.33231	0	M4	0	no	0	0
ENST00000176183	1815	0	9.340000000000001e-09	1.86	-2.0004	0	other	29	no	0	0
ENST00000176195	6343	0	1.44e-07	1.9669999999999999	-0.20276	0	other	15	no	0	0
ENST00000177648	80216	0	1.0199999999999998e-19	0.929	-0.28196	4	M1	2	no	0	0
ENST00000177694	30009	0	0.99636	0.226	1.3951	1	M1	10	no	1	0
ENST00000178638	771	0	1.28e-11	1.327	-0.1838	1	other	0	no	0	0
ENST00000178640	5607	0	0.004765	0.509	2.0201	0	other	9	no	0	0
ENST00000180166	26281	1	0.81379	0.539	-0.8742	1	other	15	no	0	0
ENST00000181383	1361	0	2.7100000000000002e-17	1.341	0.95311	0	other	0	no	0	0
ENST00000181796	83641	0	7.43e-08	1.392	-0.55414	0	M7	0	no	0	0
ENST00000182290	10077	0	2.17e-05	0.988	-0.32864	0	M1	2	no	0	0
ENST00000182377	55711	0	0.5596300000000001	0.434	1.6985	0	M7	0	no	0	0
ENST00000182527	9697	0	0.9441799999999999	0.34700000000000003	1.7609	1	other	0	no	0	0
ENST00000183605	51208	0	0.0001865	1.273	0.60746	0	other	1	no	0	0
ENST00000184183	54763	0	9.96e-05	1.422	0.07043200000000001	0	other	2	no	0	0
ENST00000184956	63897	0	5.18e-21	0.909	0.78256	0	M7	0	no	0	0
ENST00000185206	53405	0	1.62e-06	1.1740000000000002	0.53943	0	other	2	no	1	0
ENST00000187762	79041	0	0.00058271	1.03	0.9288200000000001	2	other	3	no	0	0
ENST00000188312	64431	0	5.4600000000000006e-09	1.083	1.8929	0	M7	8	no	1	0
ENST00000188790	2191	0	1.9e-28	1.1	0.45425	2	other	10	no	0	0
ENST00000189978	4593	0	2.29e-08	0.728	1.1168	0	other	12	no	0	0
ENST00000190165	58524	0	6.15e-06	1.172	-1.6912	3	other	1	no	0	0
ENST00000192314	64090	0	2.93e-11	1.885	-0.052375	0	M7	0	no	0	0
ENST00000193322	28962	0	0.011293000000000001	0.737	1.0937	0	other	3	no	0	0
ENST00000193391	50939	0	2.75e-13	0.72	-0.20709	0	M1	0	no	0	0
ENST00000194130	6561	0	1.2300000000000001e-17	1.224	0.50288	0	other	0	no	0	0
ENST00000194152	56131	0	7.0300000000000005e-12	1.374	-0.34094	0	other	1	no	0	0
ENST00000194155	56133	0	6.73e-07	1.119	0.25205	2	M7	1	no	0	0
ENST00000194530	55437	0	0.0010128000000000001	0.6890000000000001	1.5352	0	other	4	no	0	0
ENST00000194871	22837	0	0.13508	0.40399999999999997	-0.22843000000000002	0	other	0	no	0	0
ENST00000196482	25799	0	0.038443	0.61	1.0259	0	M1	1	no	0	0
ENST00000196489	55659	0	0.36706	1.005	0.89412	0	M7	0	no	0	0
ENST00000196548	7554	0	0.016971	0.69	1.3829	2	M1	0	no	0	0
ENST00000198536	29992	0	1.73e-11	1.6030000000000002	0.44638999999999995	1	other	0	no	0	0
ENST00000198765	8895	0	1.7800000000000002e-25	1.54	-0.9754700000000001	2	M7	4	no	0	0
ENST00000198939	10523	0	1.0	0.13	4.24	0	M1	12	no	0	0
ENST00000199280	359	0	2.49e-06	1.569	1.0598	0	other	4	no	0	0
ENST00000199389	27102	0	7.009999999999999e-07	0.71	0.43438999999999994	0	other	2	no	0	0
ENST00000199706	10573	0	2e-07	1.469	-1.3048	0	other	1	no	0	0
ENST00000199708	3049	1	0.00082894	1.912	0.5901	0	other	0	no	0	0
ENST00000199764	4680	0	1.19e-06	1.217	-0.1875	0	other	2	no	0	0
ENST00000199814	55696	0	0.9994700000000001	0.138	3.1553	0	M7	14	yes	1	0
ENST00000199936	3294	0	1.8499999999999998e-10	1.725	-1.5682	1	other	0	no	0	0
ENST00000200135	9183	0	0.0014855	0.525	0.44106000000000006	0	other	15	no	0	0
ENST00000200181	3691	0	9.53e-19	0.648	0.37378	0	other	9	no	0	0
ENST00000200307	6354	0	0.0012364000000000001	1.8719999999999999	0.061877	0	other	0	no	0	0
ENST00000200453	23645	0	2.21e-12	1.235	-0.15799000000000002	1	M1	7	no	0	0
ENST00000200457	7205	0	0.0032632	0.67	0.076789	0	other	3	no	0	0
ENST00000200557	4185	1	1.04e-05	0.531	2.6264	1	M13	0	no	0	0
ENST00000200652	6583	0	1.8300000000000002e-08	0.978	0.85249	0	other	1	no	0	0
ENST00000200676	1071	0	1.1900000000000001e-23	1.499	-0.52587	0	other	1	no	0	0
ENST00000201031	7022	0	0.92204	0.371	2.4627	7	other	3	no	0	0
ENST00000201586	6820	0	0.43553000000000003	0.55	1.113	0	other	2	no	0	0
ENST00000202017	81572	0	0.00025916	1.547	0.42681	0	M7	0	no	0	0
ENST00000202556	23368	0	0.99811	0.26899999999999996	1.5265	0	other	6	no	0	0
ENST00000202625	343641	0	1.1200000000000001e-24	1.367	-0.82014	0	other	1	no	0	0
ENST00000202816	51575	0	0.017818	0.46299999999999997	0.51552	0	M1	0	no	0	0
ENST00000202967	23409	0	6.859999999999999e-10	1.7730000000000001	1.0143	0	M1	9	no	0	0
ENST00000203001	51605	0	2.4e-05	0.747	1.0293	0	M7	6	no	0	0
ENST00000203166	23354	0	3.28e-10	0.731	0.89444	2	M1	7	no	0	0
ENST00000203407	7384	0	0.020028	0.546	0.55518	0	other	2	no	0	0
ENST00000203556	51291	0	1.88e-10	0.711	2.4814	4	M4	1	no	0	0
ENST00000203629	3902	0	0.27623000000000003	0.5	0.51232	0	other	2	no	0	0
ENST00000203630	8079	0	0.8604200000000001	0.413	1.6066	0	other	0	no	0	0
ENST00000203664	78990	0	4.54e-11	1.8559999999999999	0.45221000000000006	0	M7	13	no	0	0
ENST00000204517	7023	0	0.99731	0.172	1.5962	3	M1	11	no	0	0
ENST00000204549	10081	0	8.55e-06	1.122	0.7524	0	other	6	no	1	0
ENST00000204566	51324	0	0.00066076	0.8340000000000001	1.1588	0	M7	1	no	0	0
ENST00000204604	8646	0	3.79e-05	0.517	1.4614	2	other	24	no	0	0
ENST00000204615	7066	0	0.19714	0.701	0.41073999999999994	2	other	11	no	0	0
ENST00000204726	2802	0	0.006795100000000001	0.38	0.05485399999999999	0	other	1	no	0	0
ENST00000205061	2734	0	1.0	0.207	2.0663	0	other	0	no	0	0
ENST00000205194	57106	1	0.008668700000000001	1.796	0.65713	0	other	6	no	0	0
ENST00000205214	132949	0	1.66e-13	0.828	0.255	0	M1	0	no	0	0
ENST00000205386	22798	0	1.6099999999999997e-42	1.008	-0.14592	0	other	0	no	0	0
ENST00000205636	54918	0	0.43301999999999996	0.8809999999999999	0.50466	1	other	1	no	0	0
ENST00000205890	51168	0	1.25e-56	0.8	0.6459199999999999	1	other	0	no	0	0
ENST00000205948	350	0	1.56e-15	1.66	0.27608	0	other	7	no	0	0
ENST00000206020	9552	0	0.0006849	1.0	0.8759399999999999	0	other	0	no	0	0
ENST00000206249	2099	0	0.9992	0.19	1.6119999999999999	0	other	26	yes	0	0
ENST00000206380	84336	0	0.0017385000000000002	1.0490000000000002	1.2142	0	other	0	no	0	0
ENST00000206423	151887	0	6e-06	0.65	0.44066000000000005	0	other	0	no	0	0
ENST00000206474	54930	0	0.018011000000000003	0.605	0.80911	0	other	8	no	0	0
ENST00000206513	1053	0	0.007076899999999999	0.995	0.23340999999999998	0	M7	2	no	0	0
ENST00000206544	51310	1	0.010603	0.584	1.4156	0	other	0	no	0	0
ENST00000206765	7051	0	2.2500000000000003e-13	0.93	-0.060190999999999995	1	other	4	no	0	0
ENST00000207457	27285	0	7.429999999999999e-12	1.255	-0.51431	2	M1	0	no	0	0
ENST00000209540	126370	0	5.75e-06	1.906	-0.29657	0	other	0	no	0	0
ENST00000209718	25984	0	4.66e-13	1.337	0.23698000000000002	1	other	0	no	0	0
ENST00000209884	27252	0	0.0094141	0.511	3.613	0	M7	1	no	0	0
ENST00000210187	25837	1	1.7e-08	1.589	-0.81005	0	other	9	no	0	0
ENST00000210313	5711	0	3.24e-08	1.037	0.28694000000000003	0	other	24	no	0	0
ENST00000210633	57715	0	1.35e-08	0.7559999999999999	0.95345	1	M4	23	no	0	0
ENST00000211076	23430	0	8.039999999999999e-12	1.85	-1.6229	0	other	0	no	0	0
ENST00000211122	2940	0	0.0012851	1.1179999999999999	-0.42357	0	other	0	no	0	0
ENST00000211287	5603	0	6.72e-11	1.112	0.47491000000000005	2	M13	12	no	0	0
ENST00000211314	28978	1	0.023377000000000002	1.41	0.6349100000000001	0	other	3	no	0	0
ENST00000211413	80863	1	0.29845	0.772	3.0272	1	M13	11	no	0	0
ENST00000211998	7414	0	0.046787999999999996	0.396	2.7082	0	other	11	no	0	0
ENST00000212015	23411	0	0.087326	0.503	1.7946	0	M1	103	no	0	0
ENST00000212355	7049	0	0.0030577	0.499	1.2076	0	other	64	no	0	0
ENST00000214869	11018	0	1.16e-06	1.7	0.5214300000000001	0	other	0	no	0	0
ENST00000215057	7593	0	1.0699999999999999e-10	1.082	-0.26184	0	other	1	no	0	0
ENST00000215061	79629	0	0.00030592	1.162	-0.33559	0	other	0	no	0	0
ENST00000215071	5714	0	0.06880599999999999	0.632	0.48463999999999996	0	other	24	no	0	0
ENST00000215473	83259	1	6.99e-05	1.508	-0.33986	2	other	0	no	0	0
ENST00000215530	27006	0	6.67e-07	1.9269999999999998	-0.79732	1	other	5	no	0	0
ENST00000215565	4713	0	0.0031709	1.6669999999999998	0.26725	0	other	0	no	0	0
ENST00000215570	26517	0	0.062511	1.554	-0.34905	0	M1	3	no	0	0
ENST00000215574	997	0	0.95625	0.305	1.8321	0	other	3	no	0	0
ENST00000215587	5434	0	7.21e-09	1.4869999999999999	0.35286999999999996	0	other	16	no	0	0
ENST00000215637	8174	1	0.53462	0.74	0.47605	1	M1	2	no	0	0
ENST00000215659	6300	0	5.870000000000001e-07	0.991	-0.46626999999999996	0	other	7	no	0	0
ENST00000215727	3053	0	2.51e-10	1.4969999999999999	-0.056846	2	other	0	no	0	0
ENST00000215742	80764	0	0.013290999999999999	0.865	0.38465	0	M7	22	no	0	0
ENST00000215743	4320	0	2.4100000000000003e-05	0.84	0.6501399999999999	4	M1	0	no	0	0
ENST00000215781	5008	0	0.58916	1.056	0.29393	0	other	7	no	0	0
ENST00000215793	10291	0	0.9875200000000001	0.298	4.1633	0	M7	7	yes	1	0
ENST00000215812	266629	0	3.66e-23	1.646	0.26321	0	other	0	no	0	0
ENST00000215829	6634	0	0.8583799999999999	0.467	2.3551	0	other	14	yes	1	0
ENST00000215832	5594	0	0.99698	0.175	3.6111	0	other	29	no	0	0
ENST00000215882	6576	0	0.058829	0.649	1.2386	0	M1	2	no	0	0
ENST00000215885	50487	0	3.5600000000000005e-11	1.153	-0.07134	5	other	21	no	0	0
ENST00000215886	3957	0	0.020219	1.4780000000000002	-0.36306	0	other	0	no	0	0
ENST00000215904	57026	1	0.25559	1.32	0.90396	0	other	9	no	0	0
ENST00000215906	57168	1	0.45902	0.541	1.8969999999999998	0	other	0	no	0	0
ENST00000215909	3956	0	0.004488000000000001	1.545	0.45375	0	other	2	no	0	0
ENST00000215912	113791	0	0.015066999999999999	0.8420000000000001	0.8726799999999999	0	other	0	no	0	0
ENST00000215917	402055	0	1.8e-08	1.581	-0.45235	0	M7	1	no	0	0
ENST00000215941	129138	0	0.002006	0.8290000000000001	0.93495	0	other	3	no	0	0
ENST00000215957	85377	0	1.2e-07	0.752	0.97588	2	M1	1	no	0	0
ENST00000215980	79019	0	0.015009999999999999	1.104	0.54285	6	other	13	no	0	0
ENST00000216024	11144	0	5.0600000000000003e-05	0.7709999999999999	1.2676	3	other	4	no	0	0
ENST00000216027	150274	0	0.0035209000000000004	0.91	0.19175	0	other	0	no	0	0
ENST00000216029	25776	0	0.0012587	1.5019999999999998	0.43782	0	M7	10	no	0	0
ENST00000216034	56993	0	0.60847	0.66	0.9285100000000001	0	other	0	no	0	0
ENST00000216039	9929	0	0.044608999999999996	0.8270000000000001	1.8130000000000002	0	M7	2	no	0	0
ENST00000216068	10126	0	0.0028273000000000005	1.702	0.44555	0	M7	0	no	0	0
ENST00000216071	25770	1	1.71e-07	1.492	-0.18615	0	other	0	no	0	0
ENST00000216075	55586	0	1.07e-17	1.777	-0.49078	0	other	0	no	0	0
ENST00000216085	25807	0	4.95e-05	1.271	0.10236	0	other	0	no	0	0
ENST00000216099	140564	0	1.3599999999999999e-18	1.6569999999999998	-1.0917	0	other	3	no	0	0
ENST00000216101	10633	1	0.18417999999999998	0.961	1.6762	0	other	0	no	0	0
ENST00000216106	10042	0	0.49435	0.424	1.2377	4	M1	5	no	1	0
ENST00000216115	638	0	5.03e-06	1.9140000000000001	0.10786	1	other	3	no	0	0
ENST00000216117	3162	0	0.009681700000000001	0.927	-0.5200199999999999	0	other	18	no	0	0
ENST00000216121	8508	0	0.10005	0.535	1.8361	1	other	1	no	0	0
ENST00000216122	4174	0	0.00059281	0.562	1.1611	6	other	7	no	0	0
ENST00000216127	23551	1	0.53733	0.737	1.6851	0	other	5	no	0	0
ENST00000216129	23170	0	2.2399999999999997e-15	1.074	-0.81333	1	M1	18	no	0	0
ENST00000216133	23492	0	0.68534	0.505	1.3043	3	other	1	no	1	0
ENST00000216139	49	0	0.012215	0.88	0.44696	0	other	0	no	0	0
ENST00000216144	164633	1	0.14740999999999999	0.765	1.4254	0	other	0	no	0	0
ENST00000216177	150379	1	1.19e-06	1.05	-0.35273000000000004	2	other	0	no	0	0
ENST00000216180	80339	0	5.7400000000000004e-08	1.105	-0.47221	3	M1	2	no	0	0
ENST00000216185	25828	0	2.56e-05	1.7269999999999999	0.61479	0	other	0	no	0	0
ENST00000216187	80020	0	0.0025238000000000005	0.622	0.68156	0	other	0	no	0	0
ENST00000216190	8664	0	0.9998299999999999	0.187	3.4948	0	M7	2	no	0	0
ENST00000216200	5816	1	0.086602	1.361	0.03597	1	other	0	no	0	0
ENST00000216211	7380	0	1.08e-10	1.781	-0.41056000000000004	0	other	0	no	0	0
ENST00000216214	55007	0	6.32e-05	1.004	0.9484600000000001	0	M1	0	no	0	0
ENST00000216218	6767	0	0.66074	0.414	0.94711	0	M7	0	no	0	0
ENST00000216223	3560	0	0.29095	0.496	0.4407	0	other	1	no	0	0
ENST00000216237	83746	0	1.03e-08	0.716	1.9247	0	other	4	no	1	0
ENST00000216252	84844	0	0.86605	0.455	2.6541	0	other	6	no	1	0
ENST00000216259	5372	0	1.66e-06	1.171	0.84019	0	other	1	no	0	0
ENST00000216264	64781	0	2.59e-05	0.741	0.76353	1	M7	0	no	0	0
ENST00000216268	9889	0	0.50688	0.405	2.2586	9	M1	0	no	0	0
ENST00000216274	11035	0	1.19e-14	1.367	0.016431	0	other	9	no	0	0
ENST00000216277	10914	0	0.99998	0.177	3.5467	0	M7	5	no	1	0
ENST00000216294	6617	0	2.36e-16	1.527	-0.00046545	1	other	0	no	0	0
ENST00000216330	2287	0	0.00066025	1.0070000000000001	-0.016165000000000002	0	other	0	no	0	0
ENST00000216336	1511	0	9.56e-06	1.3230000000000002	0.81786	0	other	0	no	0	0
ENST00000216338	2999	0	1.28e-07	1.7730000000000001	-0.5958100000000001	0	other	0	no	0	0
ENST00000216361	1690	1	1.24e-07	0.9129999999999999	0.67604	0	M1	0	no	0	0
ENST00000216367	5427	0	2.85e-07	0.764	0.7911600000000001	4	other	3	no	0	0
ENST00000216373	6655	0	0.99955	0.256	2.5273	0	M7	1	no	0	0
ENST00000216410	64841	0	0.012367	1.167	1.3296	0	other	5	no	0	0
ENST00000216420	10668	0	0.0073203	0.794	0.22294	0	other	3	no	0	0
ENST00000216442	51382	0	4.51e-05	0.894	1.1320000000000001	0	other	4	no	0	0
ENST00000216446	26499	0	5.2900000000000006e-09	1.203	0.8242799999999999	0	M1	0	no	0	0
ENST00000216452	5283	0	0.2307	0.867	0.9481799999999999	0	other	0	no	0	0
ENST00000216455	5684	0	0.98462	0.278	1.7604	0	M7	26	no	0	0
ENST00000216468	283578	0	0.085258	0.711	1.0119	0	other	0	no	0	0
ENST00000216479	10598	0	0.9989600000000001	0.15	1.6949	0	other	0	no	0	0
ENST00000216487	79890	0	4.2799999999999997e-10	0.902	0.77486	0	other	5	no	0	0
ENST00000216489	8846	0	4.9e-06	1.026	0.053489	0	M7	3	no	0	0
ENST00000216492	1113	1	0.030369	0.568	0.82132	2	other	9	no	0	0
ENST00000216513	51804	0	0.6946399999999999	0.428	1.4909	3	other	27	no	1	0
ENST00000216540	6554	0	4.79e-16	1.975	-1.9807	0	other	0	no	0	0
ENST00000216554	1983	0	0.9875799999999999	0.285	1.5562	0	other	0	no	0	0
ENST00000216602	79038	0	0.3425	0.594	0.42371000000000003	0	other	0	no	0	0
ENST00000216714	328	0	1.92e-07	1.273	0.12057000000000001	0	M7	9	no	0	0
ENST00000216733	10278	0	1.82e-08	1.219	0.38498000000000004	1	other	0	no	0	0
ENST00000216780	5106	0	1.75e-23	1.393	-0.20271	0	other	21	no	0	0
ENST00000216797	4792	0	0.9945200000000001	0.193	0.70728	0	M1	8	no	0	0
ENST00000216802	5721	0	0.015837999999999998	0.6970000000000001	1.2209999999999999	0	other	26	no	0	0
ENST00000216807	84312	0	0.05784299999999999	0.5760000000000001	2.1498	0	other	7	no	1	0
ENST00000216832	5411	0	0.11262	0.44	0.92589	0	M1	7	yes	0	0
ENST00000216840	5875	0	1.7500000000000002e-10	0.816	0.53001	0	M7	0	no	0	0
ENST00000216923	55734	0	0.00016534	0.758	1.9414	1	M7	0	no	0	0
ENST00000216951	2937	0	1.76e-06	0.785	0.77425	0	M7	0	no	0	0
ENST00000216962	5834	0	1.41e-14	0.8909999999999999	-0.047312	0	M7	0	no	0	0
ENST00000217026	4605	0	0.12226	0.43700000000000006	1.5735	7	other	0	no	0	0
ENST00000217043	140902	0	1.88e-06	1.3559999999999999	0.5455	0	other	0	no	0	0
ENST00000217109	1477	0	0.95401	0.341	3.4072	0	other	4	no	1	0
ENST00000217121	7165	0	0.00020188	1.008	-0.0083793	0	other	0	no	0	0
ENST00000217130	57473	0	0.99992	0.20600000000000002	1.8258	2	M4	0	no	0	0
ENST00000217131	1522	0	2.2599999999999997e-16	1.919	0.59991	0	other	6	no	0	0
ENST00000217133	81027	0	1.0199999999999999e-07	1.3519999999999999	0.0027388	4	M1	0	no	0	0
ENST00000217159	28231	0	1.03e-10	1.0	0.43028	0	other	0	no	0	0
ENST00000217169	79444	0	1.1e-07	1.3419999999999999	-0.009815700000000002	0	other	5	no	0	0
ENST00000217173	22888	0	0.00072138	0.823	0.92691	0	M7	2	no	0	0
ENST00000217185	5753	0	4.35e-13	1.3419999999999999	0.39382	0	other	16	no	0	0
ENST00000217188	6725	0	1.27e-12	1.5219999999999998	0.0075236999999999995	1	other	6	no	0	0
ENST00000217195	54976	0	0.0086621	1.2930000000000001	0.71812	0	M1	6	no	0	0
ENST00000217270	128674	0	2.44e-06	1.5719999999999998	-0.11864000000000001	4	M4	2	no	0	0
ENST00000217289	55612	0	2.92e-11	0.8540000000000001	0.7798	0	other	4	no	0	0
ENST00000217305	5173	1	0.00017033	1.656	-0.52656	3	other	3	no	0	0
ENST00000217381	6640	0	0.0056417	0.7070000000000001	1.1721	0	other	13	no	0	0
ENST00000217402	128866	0	0.9577100000000001	0.302	2.3781	0	other	14	no	0	0
ENST00000217407	3929	0	4.19e-15	1.33	-0.1536	0	other	0	no	0	0
ENST00000217423	1472	0	6.68e-07	1.9269999999999998	-2.0682	0	other	0	no	0	0
